Symbol,Name,Exchange,Sector,Industry,SCTR,Universe,Close,Volume,Market Cap
AAPL,"Apple, Inc.",NASD,Technology,Computer Hardware,76.9,lrg,155.35,65086629,2514339.75
MSFT,Microsoft Corp.,NASD,Technology,Software,41.7,lrg,264.84,22403079,1980738.375
GOOGL,Alphabet Inc.,NASD,Communication Services,Internet,31.2,lrg,114.34,32675647,1505857.75
AMZN,"Amazon.com, Inc.",NASD,Consumer Discretionary,Broadline Retailers,39.8,lrg,124.63,60238942,1267985.625
TSLA,Tesla Inc.,NASD,Consumer Discretionary,Automobiles,62.3,lrg,815.12,47343885,844464.312
BRK/B,"Berkshire Hathaway, Inc.",NYSE,Financial,Reinsurance,49.9,lrg,286.85,3700232,632791.125
META,"Meta Platforms, Inc.",NASD,Communication Services,Internet,7.7,lrg,183.17,27195254,495841.188
UNH,"Unitedhealth Group, Inc.",NYSE,Health Care,Health Care Providers,92,lrg,522.46,2667760,490067.5
NVDA,NVIDIA Corp.,NASD,Technology,Semiconductors,24.8,lrg,180.5,55704826,451250
JNJ,Johnson & Johnson,NYSE,Health Care,Pharmaceuticals,66.2,lrg,171.31,5729213,450716.594
V,Visa Inc.,NYSE,Technology,Computer Services,82,lrg,216.19,4801156,450323.781
XOM,Exxon Mobil Corp.,NYSE,Energy,Integrated Oil & Gas,93.8,lrg,87.75,21375663,369690.75
WMT,Walmart Inc.,NYSE,Consumer Staples,Personal Products,67.7,lrg,132.55,6254831,363319.562
JPM,J.P. Morgan Chase & Co.,NYSE,Financial,Banks,15.8,lrg,115.32,11595860,338694.844
PG,Procter & Gamble Co.,NYSE,Consumer Staples,Personal Products,34.3,lrg,140.77,8310200,337707.25
MA,Mastercard,NYSE,Technology,Computer Services,72.7,lrg,346.92,2230803,337553.188
HD,"Home Depot, Inc.",NYSE,Consumer Discretionary,Home Improvement Retailers,62.9,lrg,305,1965036,313540
LLY,Eli Lilly & Co.,NYSE,Health Care,Pharmaceuticals,98.6,lrg,326.92,1692103,310574
